Unnamed: 0,년도,클럽명,선수명,출전시간,득점,도움,슈팅,스로인,드리블 시도,키패스,전방 패스 시도,횡패스 시도,공격지역패스 시도,수비지역패스 시도,중앙지역패스 시도,롱패스,숏패스 시도,크로스 시도,경합 지상 시도,경합 공중 시도,태클 시도,클리어링,인터셉트,차단,블락,파울,피파울,Position,Role,Detailed Role
0,2022,강원,갈레고,386,3,0,11,3,16,1,24,48,46,9,36,32,59,4,12,12,10,3,6,6,8,11,10,FW,WF,Wide Threat
1,2022,강원,김대우,541,1,0,6,0,3,4,69,44,42,28,97,65,102,3,20,17,13,9,14,14,15,11,10,MF,CAM,Box crasher
2,2022,강원,김대원,3287,12,13,64,5,46,78,293,432,510,112,430,363,689,291,84,41,83,22,35,29,45,23,20,FW,WF,Wide Threat
3,2022,강원,김동현,2941,0,1,21,0,7,9,392,585,188,189,865,662,580,8,65,99,73,116,100,74,96,38,34,MF,CAM,Box crasher
4,2022,강원,코바야시,694,0,1,9,1,5,4,166,132,90,42,249,145,236,2,15,18,19,10,22,14,18,11,17,MF,CDM,Box to Box
5,2022,강원,정승용,3504,2,1,25,320,40,19,740,471,428,341,782,671,880,105,86,92,104,152,122,81,99,38,53,DF,FB,Safety
6,2022,강원,임창우,3487,2,1,23,179,14,11,803,697,163,427,1066,1109,547,90,92,219,78,254,160,102,108,24,28,DF,FB,Progressor
7,2022,강원,김영빈,3448,4,0,19,6,0,2,544,812,44,499,887,1022,408,3,108,249,47,264,157,73,107,32,10,DF,CB,Spreader
8,2022,강원,이정협,1960,5,1,30,1,5,7,133,219,220,30,295,143,402,15,61,268,7,14,13,2,14,25,31,FW,CF,Roamer
9,2022,강원,김진호,2307,3,2,14,159,54,22,347,342,287,118,528,389,544,92,34,69,50,69,58,41,57,29,37,DF,FB,Safety
10,2022,강원,한국영,291,0,0,1,0,0,0,28,84,18,12,101,73,58,3,5,9,11,7,8,5,9,3,7,MF,CAM,Box crasher
11,2022,강원,이웅희,230,0,0,1,1,0,1,36,29,1,19,50,41,29,0,6,15,0,18,12,5,13,2,3,MF,CAM,Box crasher
12,2022,강원,디노,264,2,0,8,0,0,6,31,23,25,1,52,23,55,2,11,47,7,6,3,2,1,5,6,FW,CF,Roamer
13,2022,강원,윤석영,2797,1,2,4,17,3,4,510,520,63,308,779,761,389,17,55,96,32,183,117,52,76,15,17,DF,CB,SCB
14,2022,강원,유상훈,3341,0,0,0,0,0,0,689,76,0,760,5,710,55,0,1,0,1,41,148,3,6,0,9,GK,GK,Goalkeeper
15,2022,강원,케빈,1020,1,0,14,1,10,5,134,261,51,86,347,329,155,3,30,56,25,26,32,34,23,13,5,MF,CAM,Box crasher
16,2022,강원,발샤,610,2,0,17,0,11,2,34,47,38,3,78,34,85,5,34,74,7,6,4,3,3,13,6,FW,CF,Finisher
