Column1,Unnamed: 0,클럽명,선수명,출전 경기,득점,도움,공격 지역 패스,중앙 지역 패스,수비 지역 패스,태클,클리어링,인터셉트,차단,획득,블락,SHO,DRI,PHY,LOP,SHP,TAK,Position,Role,Detailed Role,url
0,0,강원,갈레고,4,3,0,46,36,9,10,3,6,6,24,8,64,44,33,84,81,30,FW,WF,Wide Threat,
1,1,강원,김대우,6,1,0,42,97,28,13,9,14,14,39,15,33,33,41,74,75,8,MF,CAM,Box crasher,https://www.youtube.com/watch?v=1m5mHXycxEw
2,2,강원,김대원,36,12,13,510,430,112,83,22,35,29,200,45,56,43,33,81,80,23,FW,WF,Wide Threat,https://www.youtube.com/watch?v=k8XoK69onew
3,3,강원,김동현,32,0,1,188,865,189,73,116,100,74,215,96,29,43,64,85,86,29,MF,CAM,Box crasher,https://www.youtube.com/watch?v=hJF8LffJuJ0
4,4,강원,코바야시,7,0,1,90,249,42,19,10,22,14,74,18,33,20,39,79,85,32,MF,CDM,Box to Box,
5,5,강원,정승용,38,2,1,428,782,341,104,152,122,81,211,99,64,38,57,69,86,41,DF,FB,Safety,https://www.youtube.com/watch?v=JfpuYkuWNQo
6,6,강원,임창우,38,2,1,163,1066,427,78,254,160,102,110,108,52,50,62,76,89,37,DF,FB,Progressor,https://www.youtube.com/watch?v=_QDXCbnNKag
7,7,강원,김영빈,38,4,0,44,887,499,47,264,157,73,134,107,47,0,57,90,88,34,DF,CB,Spreader,https://www.youtube.com/watch?v=8_IpFIa8GXI
8,8,강원,이정협,21,5,1,220,295,30,7,14,13,2,76,14,63,20,44,66,73,0,FW,CF,Roamer,https://www.youtube.com/watch?v=vV30p-pUMhc
9,9,강원,김진호,25,3,2,287,528,118,50,69,58,41,123,57,50,52,44,72,89,38,DF,FB,Safety,https://www.youtube.com/watch?v=rgtGu-91PxM
10,10,강원,한국영,3,0,0,18,101,12,11,7,8,5,17,9,0,0,71,85,91,36,MF,CAM,Box crasher,
11,11,강원,이웅희,2,0,0,1,50,19,0,18,12,5,8,13,0,0,76,80,86,0,MF,CAM,Box crasher,
12,12,강원,디노,2,2,0,25,52,1,7,6,3,2,13,1,50,0,47,78,64,29,FW,CF,Roamer,
13,13,강원,윤석영,31,1,2,63,779,308,32,183,117,52,93,76,50,67,47,84,90,34,DF,CB,SCB,https://www.youtube.com/watch?v=n6Hrtb31f0U
14,14,강원,유상훈,37,0,0,0,5,760,1,41,148,3,56,6,0,0,100,34,100,100,GK,GK,Goalkeeper,https://www.youtube.com/watch?v=hjT_ZIIOGWc
15,15,강원,케빈,11,1,0,51,347,86,25,26,32,34,59,23,57,30,45,86,86,40,MF,CAM,Box crasher,https://www.youtube.com/watch?v=dVYklmAftxQ
16,16,강원,발샤,6,2,0,38,78,3,7,6,4,3,19,3,76,45,32,56,76,14,FW,CF,Finisher,https://www.youtube.com/watch?v=o2YJ-fwPJH0
17,17,강원,서민우,32,0,1,149,776,313,109,96,113,117,199,78,55,0,52,88,86,32,MF,CAM,Box crasher,https://www.youtube.com/watch?v=2IC5NzLjrcQ
18,18,강원,강지훈,10,0,1,79,199,48,24,22,23,22,41,22,40,27,48,70,82,12,DF,FB,Safety,https://www.youtube.com/watch?v=oEN1qw8mKFk
19,19,강원,양현준,32,8,4,346,369,92,67,20,32,31,143,37,37,54,35,75,79,42,FW,WF,Wide Threat,https://www.youtube.com/watch?v=dFtn4ogaRGo
20,20,강원,황문기,13,3,0,123,258,56,36,23,29,23,111,18,48,33,43,72,77,33,MF,CDM,Builder,https://www.youtube.com/watch?v=2Qjqxpw9ftc
21,21,경남,모재현,28,6,6,243,348,67,46,20,44,34,157,34,62,44,42,77,81,46,FW,WF,Wide Threat,https://www.youtube.com/watch?v=Mw6tc1aJV5w
22,22,경남,서재원,5,1,0,22,31,9,7,9,8,10,26,16,57,29,31,62,74,14,MF,CDM,Builder,
23,23,경남,김명준,31,1,1,16,1007,855,46,243,127,61,69,88,50,67,68,85,92,46,DF,CB,Aggressor,https://www.youtube.com/watch?v=lJNPpUMjjeQ
24,24,경남,설현진,4,0,0,26,66,24,11,8,9,5,30,7,67,0,51,67,76,27,FW,WF,Wide Threat,
25,25,경남,정충근,13,3,1,90,153,23,24,14,27,21,75,33,74,33,39,70,81,46,FW,CF,Finisher,https://www.youtube.com/watch?v=zI9zwaugMu4
